number,first_choice,second_choice,third_choice
1,Kate Knuth,Jacob Frey,Doug Nelson
2,Sheila Nezhad,Christopher W David,Marcus Harcus
3,Kate Knuth,Sheila Nezhad,Jacob Frey
4,Jacob Frey,Bob Carney Jr,AJ Awed
5,Sheila Nezhad,Kate Knuth,AJ Awed
6,Sheila Nezhad,Mike Winter,Kate Knuth
7,Sheila Nezhad,Kate Knuth,Marcus Harcus
8,Kate Knuth,Sheila Nezhad,AJ Awed
9,Jacob Frey,Paul E. Johnson,Sheila Nezhad
10,Jacob Frey,Kate Knuth,Paul E. Johnson
11,Sheila Nezhad,Jacob Frey,Kate Knuth
12,AJ Awed,Kate Knuth,Mike Winter
13,Kate Knuth,Marcus Harcus,Sheila Nezhad
14,Jacob Frey,Laverne Turner,Paul E. Johnson
15,Sheila Nezhad,Jacob Frey,AJ Awed
16,Jacob Frey,Doug Nelson,Sheila Nezhad
17,Marcus Harcus,Paul E. Johnson,Sheila Nezhad
18,Jacob Frey,Sheila Nezhad,Bob Carney Jr
19,Jacob Frey,Kate Knuth,Mike Winter
20,AJ Awed,Sheila Nezhad,Clint Conner
21,Jacob Frey,AJ Awed,Sheila Nezhad
22,Kate Knuth,Sheila Nezhad,Jacob Frey
23,Jacob Frey,AJ Awed,Mike Winter
24,Jacob Frey,AJ Awed,Doug Nelson
25,Sheila Nezhad,Doug Nelson,Jacob Frey
26,Laverne Turner,Jacob Frey,Doug Nelson
27,Marcus Harcus,Jacob Frey,Nate Atkins
28,Clint Conner,Jacob Frey,Troy Benjegerdes
29,Kate Knuth,Jerrell Perry,AJ Awed
30,Jerrell Perry,Jacob Frey,AJ Awed
31,Sheila Nezhad,Kate Knuth,Doug Nelson
32,Laverne Turner,Sheila Nezhad,Kate Knuth
33,Kate Knuth,Laverne Turner,Jacob Frey
34,Sheila Nezhad,Jacob Frey,Kevin Ward
35,Kate Knuth,Sheila Nezhad,Jacob Frey
36,AJ Awed,Doug Nelson,Kate Knuth
37,Sheila Nezhad,Jacob Frey,Kate Knuth
38,Doug Nelson,Kate Knuth,Sheila Nezhad
39,Jerrell Perry,AJ Awed,Jacob Frey
40,Sheila Nezhad,AJ Awed,Kate Knuth
41,Kate Knuth,AJ Awed,Jacob Frey
42,Mike Winter,Kate Knuth,Jacob Frey
43,Kate Knuth,Jacob Frey,Marcus Harcus
44,Kate Knuth,Jacob Frey,Paul E. Johnson
45,Jacob Frey,Kate Knuth,AJ Awed
46,Sheila Nezhad,Kate Knuth,Doug Nelson
47,Kevin Ward,Jacob Frey,Kate Knuth
48,Kate Knuth,Marcus Harcus,Doug Nelson
49,Sheila Nezhad,Mark Globus,Jacob Frey
50,Kate Knuth,Jacob Frey,Sheila Nezhad
51,Doug Nelson,Kate Knuth,AJ Awed
52,AJ Awed,Sheila Nezhad,Jacob Frey
53,Sheila Nezhad,Nate Atkins,Marcus Harcus
54,Clint Conner,Sheila Nezhad,Marcus Harcus
55,Sheila Nezhad,Jacob Frey,Kate Knuth
56,AJ Awed,Jacob Frey,Kate Knuth
57,Jacob Frey,Sheila Nezhad,Marcus Harcus
58,Sheila Nezhad,Kate Knuth,AJ Awed
